title,authors,isbn13
Ready or Not (All-American Girl  #2),Meg Cabot,9780060724504
The Perfect Score (It's All About Attitude #5),Julie Kenner,9780373792733
The Face on the Milk Carton (Janie Johnson  #1),Caroline B. Cooney,9780385323284
Teen Angst? Naaah...,Ned Vizzini,9780440237679
It's Kind of a Funny Story,Ned Vizzini,9780786851966
Be More Chill,Ned Vizzini,9780786809967
Collected Prose: Autobiographical Writings  True Stories  Critical Essays  Prefaces  and Collaborations with Artists,Paul Auster,9780312424688
Hand to Mouth: A Chronicle of Early Failure,Paul Auster,9780312422325
The Book of Illusions,Paul Auster,9780571212187
City of Glass: The Graphic Novel,Paul Karasik/David Mazzucchelli/Paul Auster/Art Spiegelman,9780571226337
Moonraker,Ian Fleming,9780141187563
Eat  Pray  Love,Elizabeth Gilbert,9780143038412
Eat  Pray  Love: One Woman's Search for Everything Across Italy  India and Indonesia,Elizabeth Gilbert,9781415926697
The World as Will and Representation  Vol. 1,Arthur Schopenhauer/Judith Norman/E.F.J. Payne/Alistair Welchman/Christropher Janaway,9780486217611
The Schopenhauer Cure,Irvin D. Yalom,9780060938109
Essays and Aphorisms,Arthur Schopenhauer/R.J. Hollingdale,9780140442274
Essay on the Freedom of the Will,Arthur Schopenhauer/Konstantin Kolenda,9780486440118
Schopenhauer: A Very Short Introduction,Christopher Janaway,9780192802590
The Mandarins,Simone de Beauvoir/Leonard M. Friedman,9780007203949
Les Mandarins: Tome 2,Simone de Beauvoir,9782070367702
Die Mandarins von Paris,Simone de Beauvoir,9783499107610
The Brothers K,David James Duncan,9780553378498
Where the Wild Things Are,Maurice Sendak,9780060254926
野獸國 (漢聲精選世界最佳兒童圖畫書．心理成長類  #36),Maurice Sendak,9789575881047
Essentials of Classic Italian Cooking,Marcella Hazan/Karin Kretschmann,9780394584041
The Italians: A Full-Length Portrait Featuring Their Manners and Morals,Luigi Barzini/Joan Emerson,9780684825007
Peking to Paris,Luigi  Barzini/L.P. De Castelvecchio,9780912050263
The Lost Lunar Baedeker: Poems of Mina Loy,Mina Loy/Roger L. Conover,9780374525071
Paris Was Yesterday  1925-1939,Janet Flanner/Irving Drutman,9780156709903
Lost Boy Lost Girl,Peter Straub,9780449149911
Shadowland,Peter Straub,9780425188224
Ghost Story,Peter Straub,9780671685638
Territoires (Le talisman des territoires  #2),Stephen King/Peter Straub/Bernard Cohen,9782221093832
Floating Dragon,Peter Straub,9780425189641
The Color of Water: A Black Man's Tribute to His White Mother,James   McBride,9781594481925
Color: A Natural History of the Palette,Victoria Finlay,9780812971422
Vincent's Colors,Vincent van Gogh/Metropolitan Museum of Art/William Lach,9780811850995
Flinx's Folly (Pip & Flinx #9),Alan Dean Foster,9780345450395
The Doctor's House,Ann Beattie,9780743235013
Chilly Scenes of Winter,Ann Beattie,9780679732341
What Life Was Like in the Realm of Elizabeth: England  AD 1533-1603 (What Life Was Like),Time-Life Books,9780783554563
What Life Was Like In the Age of Chivalry: Medieval Europe  AD 800-1500 (What Life Was Like),Denise Dersin,9780783554518
What Life Was Like on the Banks of the Nile: Egypt  3050-30 BC,Denise Dersin,9780809493784
What Life Was Like at the Rebirth of Genius: Renaissance Italy  AD 1400-1550 (What Life Was Like),Richard Stapleford/Time-Life Books,9780783554617
What Life Was Like Among Druids and High Kings: Celtic Ireland  AD 400-1200 (What Life Was Like),Robin Chapman Stacey,9780783554556
What Life Was Like Amid Splendor and Intrigue: Byzantine Empire  AD 330-1453,Ellen Anker/Denise Dersin,9780783554570
What Life Was Like in the Time of War and Peace: Imperial Russia  AD 1696-1917 (What Life Was Like),Time-Life Books,9780783554594
Birds of America,Lorrie Moore,9780312241223
Self-Help,Lorrie Moore,9780571145348
Who Will Run the Frog Hospital?,Lorrie Moore,9781400033829
Family Matters,Rohinton Mistry,9780375703423
Tales from Firozsha Baag [Jan 01  2002] Mistry  Rohinton,Rohinton Mistry,9780571218851
Without Remorse (John Clark  #1; Jack Ryan Universe Publication Order #6),Tom Clancy,9780425143322
Clave Red Rabbit (Jack Ryan  #2),Tom Clancy/Enric Tremps,9788408065067
Debt of Honor (Jack Ryan  #7),Tom Clancy,9780425147580
The Archimedes Effect (Tom Clancy's Net Force  #10),Steve Perry/Larry Segriff/Tom Clancy/Steve Pieczenik,9780425204245
Hidden Agendas (Tom Clancy's Net Force  #2),Steve Perry/Tom Clancy/Steve Pieczenik,9780425171394
Marine: A Guided Tour of a Marine Expeditionary Unit (Guided Tour),Tom Clancy,9780425154540
The Teeth of the Tiger (Jack Ryan Universe  #12),Tom Clancy,9780141004921
Executive Orders (Jack Ryan  #8),Tom Clancy,9780006479758
State of War (Tom Clancy's Net Force  #7),Steve Perry/Tom Clancy/Steve Pieczenik/Larry Segriff,9780425188132
Every Man a Tiger: The Gulf War Air Campaign (Commanders),Tom Clancy/Chuck Horner,9780425207369
Wild Card (Tom Clancy's Power Plays  #8),Jerome Preisler/Tom Clancy/Martin Greenberg,9780425199114
Carrier: A Guided Tour of an Aircraft Carrier (Guided Tour),Tom Clancy/Leon A. Edney,9780425166826
Cloak and Dagger (Tom Clancy's Net Force Explorers  #17),John Helfers/Russell Davis/Tom Clancy/Steve Pieczenik,9780425183038
Cybernation (Tom Clancy's Net Force  #6),Steve Perry/Tom Clancy/Steve Pieczenik,9780425182673
Virtual Vandals (Tom Clancy's Net Force Explorers  #1),Diane Duane/Tom Clancy/Steve Pieczenik,9780425161739
Cutting Edge (Tom Clancy's Power Plays  #6),Jerome Preisler/Tom Clancy/Martin Greenberg,9780425187050
Mission of Honor (Tom Clancy's Op-Center  #9),Jeff Rovin/Tom Clancy/Steve Pieczenik,9780425186701
The Bear and the Dragon (John Clark  #3),Tom Clancy,9780425180969
Breaking Point (Tom Clancy's Net Force  #4),Steve Perry/Tom Clancy/Steve Pieczenik,9780425176931
Airborne: A Guided Tour Of An Airborne Task Force,Tom Clancy,9780425157701
Red Rabbit (Jack Ryan  #2),Tom Clancy,9780399148705
John Deere Farm Tractors: A History of the John Deere Tractor,Randy Leffingwell,9780879387556
Corvette: Fifty Years,Randy Leffingwell/David Newhardt,9780760320068
Tough to Tackle,Matt Christopher/Harvey Kidder,9780316140584
Complete Guide to OneNote,W. Frederick Zimmerman/Chris Pratley,9781590592168
The Goon Show  Volume 4: My Knees Have Fallen Off!,NOT A BOOK,9780563388692
The Goon Show: Moriarty Where Are You?,NOT A BOOK,9780563388548
The Goon Show  Volume 11: He's Fallen in the Water!,NOT A BOOK,9780563388326
Power: Die 48 Gesetze Der Macht,Robert Greene/Birgit Brandau/Hartmut Schickert,9783423362481
The Echo Maker,Richard Powers,9780374146351
Power vs. Force,David R. Hawkins,9781561709335
The Power of Art,Simon Schama,9780061176104
Goodbye  Darkness: A Memoir of the Pacific War,William Manchester,9780316501118
A World Lit Only by Fire: The Medieval Mind and the Renaissance: Portrait of an Age,William Manchester,9780316545563
The Last Lion 2: Winston Spencer Churchill: Alone  1932-40,William Manchester,9780316545129
The Glory and the Dream: A Narrative History of America 1932-72,William Manchester,9780553345896
The Last Lion: Winston Spencer Churchill: Visions of Glory  1874-1932,William Manchester,9780316545037
The Last Lion: Winston Spencer Churchill: Visions of Glory 1874-1932,William Manchester,9780385313483
Moon-Flash (Kyreol  #1-2),Patricia A. McKillip,9780142403013
Harrowing the Dragon,Patricia A. McKillip,9780441014439
Cygnet (Cygnet  #1-2),Patricia A. McKillip,9780441014835
Solstice Wood (Winter Rose  #2),Patricia A. McKillip,9780441014651
Od Magic,Patricia A. McKillip,9780441013340
25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell/Les Parrott III,9780785260943
Winning with People Workbook,John C. Maxwell,9780785260905
Thornhold (The Harpers  #16; Songs & Swords  #4),Elaine Cunningham,9780786918089
The Best of the Realms: The Stories of Elaine Cunningham (Forgotten Realms: The Best of the Realms  #3),Elaine Cunningham,9780786942886
Changeling Storytellers Guide,Mark  Hunter/Ian Lemke,9781565047082
The Blood Wood (Earthdawn 6113),FASA Corporation/Ian Lemke/Louis J. Prosperi,9781555603137
Basin and Range,John McPhee,9780374516901
The Deltoid Pumpkin Seed,John McPhee,9780374516352
Assembling California,John McPhee,9780374523930
Qué Se Puede Esperar Cuando Se Está Esperando,Heidi Murkoff/Arlene Eisenberg,9780761136866
Master of Swords (Mageverse #4),Angela Knight,9780425209219
Master of the Night (Mageverse #1),Angela Knight,9780425198803
Master of Wolves (Mageverse  #3),Angela Knight,9780425207437
Captive Dreams,Angela Knight/Diane Whiteside,9780425207758
Master of Dragons (Mageverse #5),Angela Knight,9780425214244
Master of the Moon (Mageverse #2),Angela Knight,9780425203576
Jane's Warlord (Warlord #1),Angela Knight,9780425196847
Over The Moon (Mageverse #3.5),Angela Knight/MaryJanice Davidson/Virginia Kantra/Sunny,9780425213438
Mr. and Mistress (Dynasties: The Elliotts #5),Heidi Betts,9780373767236
Artesia Volume 1,Mark Smylie,9781932386226
Law of Enclosures,Dale Peck,9780671003470
The Drift House: The First Voyage,Dale Peck,9781599900056
Through a Brazen Mirror,Delia Sherman/Cortney Skinner/Ellen Kushner,9781885865243
The Porcelain Dove,Delia Sherman,9780452272262
Interfictions: An Anthology of Interstitial Writing,Delia Sherman/Theodora Goss/K. Tempest Bradford/Karen Jordan Allen/Rachel Pollack/Veronica Schanoes/Mikal Trimm/Colin Greenland/Vandana Singh/Matthew Cheney/Léa Silhol/Adrián Ferrero/Holly Phillips/Catherynne M. Valente/Christopher Barzak/Leslie What/Anna Tambour/Joy Marchand/Jon Singer/Csilla Kleinheincz/Michael J. DeLuca,9781931520249
The Fall of the Kings (Riverside  #3),Ellen Kushner/Delia Sherman,9780553585940
Killing Time,Cynthia Harrod-Eagles,9780380732029
The Tangled Thread (Morland Dynasty  #10),Cynthia Harrod-Eagles,9780751506471
The Flood-Tide (Morland Dynasty  #9),Cynthia Harrod-Eagles,9780751506464
The White Road (Morland Dynasty  #28),Cynthia Harrod-Eagles,9780751533453
The Maiden (The Morland Dynasty  #8),Cynthia Harrod-Eagles,9780751506457
The Oak Apple (Morland Dynasty  #4),Cynthia Harrod-Eagles,9780751506419
The Emperor (The Morland Dynasty  #11),Cynthia Harrod-Eagles,9780751506488
The Nature of the Child,Jerome Kagan,9780465048526
Confessions of a Pagan Nun,Kate Horsley,9781570629136
Westminster Abby,Micol Ostow,9780142404133
Changelings,Anne McCaffrey/Elizabeth Ann Scarborough,9780345470034
Dragon's Fire (Pern  #19),Anne McCaffrey/Todd McCaffrey,9780345480286
Maelstrom,Anne McCaffrey/Elizabeth Ann Scarborough,9780345470041
The Mark of the Crown (Star Wars: Jedi Apprentice  #4),Jude Watson,9780590519342
Joy Within,Joan Goldstein/Manuela Soares,9780671763794
Butch/Femme,Manuela Soares/Judy Grahn/Nisa Donnelly,9780517702222
Expository Writing: Mini-Lessons * Strategies * Activities,Tara McCarthy/Drew Hires/Jaime Lucero/Vincent Ceci,9780590103879
Persuasive Writing: Mini-Lessons  Strategies  Activities,Tara MacCarthy/Drew Hires,9780590209342
McDougal Littell Science: Student Edition Grade 6 Earth Science 2006,McDougal Littell/Douglas W. Carnine,9780618615384
Daisy Bates: Civil Rights Crusader from Arkansas,Grif Stockley,9781578068012
The Loftier Way: Tales from the Ancient American Frontier,Blaine M. Yorgason/Brenton G. Yorgason,9780877477853
A Higher Justice (The Trials of Kit Shannon #5),James Scott Bell,9780764226465
Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish,James Scott Bell,9781582972947
Deadlock,James Scott Bell,9780310243885
Breach of Promise,James Scott Bell,9780310243878
Keats's Poetry and Prose,John Keats/Jeffrey N. Cox,9780393924916
A False Mirror (Inspector Ian Rutledge  #9),Charles Todd,9780060786731
Wings of Fire (Inspector Ian Rutledge  #2),Charles Todd,9780312965686
A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd,9780553586619
The Murder Stone,Charles Todd,9780553586602
Legacy of the Dead (Inspector Ian Rutledge  #4),Charles Todd,9780553583151
A Fearsome Doubt (Inspector Ian Rutledge  #6),Charles Todd,9780553583175
Watchers of Time (Inspector Ian Rutledge  #5),Charles Todd,9780553583168
Search the Dark (Inspector Ian Rutledge  #3),Charles Todd,9780312971281
Hunters of Dune (Dune Chronicles  #7),Brian Herbert/Kevin J. Anderson,9780765312921
The Battle Of Corrin (Legends of Dune  #3),Brian Herbert/Kevin J. Anderson,9780340823378
House Corrino (Prelude to Dune #3),Brian Herbert/Kevin J. Anderson,9780553580334
House Harkonnen (Prelude to Dune #2),Brian Herbert/Kevin J. Anderson,9780553580303
Doctor Who: The Inside Story,Gary Russell,9780563486497
Doctor Who Short Trips: Repercussions,Gary Russell/Peter Anghelides/J. Shaun Lyon/Jon de Burgh Miller/Eddie Robson/Todd Green/Andy Russell/Andrew Collins/Kathryn Sullivan/Iain McLaughlin/Mark Michalowski/Joseph Lidster/Trevor Baxendale/Colin Brake/Claire Bartlett/Sarah Groenewegen/Trey Korte/Andy Frankham-Allen,9781844350483
Gerontius,James Hamilton-Paterson,9781862074934
Hellstrom's Hive,Frank Herbert,9780553144383
The Dark City (Eliot Ness  #1),Max Allan Collins,9780727862426
Bullet Proof (Eliot Ness  #3),Max Allan Collins,9780727862983
The Penguin Companion to European Literature,Anthony Thorlby,9780140510355
West To Eden,Gloria Goldreich,9780380706013
The Various,Steve Augarde,9780440420293
Truman Capote: In Which Various Friends  Enemies  Acquaintances  and Detractors Recall His Turbulent Career,George Plimpton,9780385491730
The Burnt Orange Heresy,Charles Willeford,9780786706686
Ewan McGregor: From Junkie to Jedi,Brian J. Robb,9780859652766
Shadow Twin,Gardner Dozois/George R.R. Martin/Daniel Abraham,9781596060296
Der Prophet,Kahlil Gibran,9783530268034
Le prophète,Kahlil Gibran,9782844541840
The Complete Stories of Robert Louis Stevenson: Strange Case of Dr. Jekyll and Mr. Hyde and Nineteen Other Tales,Robert Louis Stevenson/Barry Menikoff,9780375761355
The Complete Short Stories Of Robert Louis Stevenson: With A Selection Of The Best Short Novels,Robert Louis Stevenson/Charles Neider,9780306808821
A Child's Garden of Verses,Robert Louis Stevenson/Tasha Tudor,9780689823824
Have Space Suit—Will Travel,Robert A. Heinlein,9781416505495
Practicalities,Marguerite Duras/Barbara Bray,9780802133113
Le ravissement de Lol V. Stein,Marguerite Duras,9782070368105
India Song,Marguerite Duras/Barbara Bray,9780802131355
Clown,Quentin Blake,9780805059335
The Spiral Stair (Arabel and Mortimer  #6),Joan Aiken/Quentin Blake,9781903015070
A Near Thing for Captain Najork (Captain Najork #2),Russell Hoban/Quentin Blake,9781567923230
Reptiles and Amphibians (Smithsonian Handbooks),Mark O'Shea/Tim Halliday/Jonathan Metcalf,9780789493934
The Camera (Ansel Adams Photography  #1),Ansel Adams/Robert Hardy Baker,9780821221846
The Negative (Ansel Adams Photography  #2),Ansel Adams/Robert Hardy Baker,9780821221860
The Print (Ansel Adams Photography  #3),Ansel Adams/Robert Hardy Baker,9780821221877
The Changing Status of the Artist,Emma Barker/Nick Webb/Kim W. Woods,9780300077421
Vicars of Christ: A History of the Popes,Charles A. Coulombe,9780806523705
The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe,Stanley Bing,9780060529574
What Would Machiavelli Do?: The Ends Justify the Meanness,Stanley Bing,9780066620107
William James: In the Maelstrom of American Modernism,Robert D. Richardson Jr.,9780618433254
Cliffs Notes on Wright's Black Boy,Carl Senna/CliffsNotes/Richard Wright,9780822002420
The Wit and Wisdom of Abraham Lincoln: A Book of Quotations,Abraham Lincoln/Bob Blaisdell,9780486440972
Speeches and Writings 1832–1858,Abraham Lincoln/Don E. Fehrenbacher,9780940450431
Selected Speeches and Writings,Abraham Lincoln/Gore Vidal,9780679737315
George Eliot: The Last Victorian,Kathryn  Hughes,9780815411215
The Mill on the Floss,George Eliot/A.S. Byatt,9780141439624
Scenes of Clerical Life,George Eliot/Thomas A. Noble,9780192837806
Terry Jones' Medieval Lives,Terry Jones/Alan Ereira,9780563522751
Terry Jones' Fairy Tales,Terry Jones/Michael Foreman,9780140322620
Some Ether,Nick Flynn,9781555973032
Tin House: Evil (Volume 8 no. 3),Chris Adrian/Nick Flynn/Francine Prose/Josip Novakovich/Moonshine,9780977698943
A Note Slipped Under the Door: Teaching from Poems We Love,Nick Flynn/Shirley McPhillips/Philippa Stratton,9781571103208
The Trouble with Testosterone and Other Essays on the Biology of the Human Predicament,Robert M. Sapolsky,9780684838915
Monkeyluv: And Other Essays on Our Lives as Animals,Robert M. Sapolsky,9780743260169
Literary Criticism  Vol. 1: Essays on Literature / American Writers / English Writers,Henry James/Leon Edel/Mark Wilson,9780940450226
Advanced Statistics Demystified,Larry J. Stephens,9780071432429
Lilly's Big Day,Kevin Henkes,9780060742362
Chester's Way,Kevin Henkes,9780688154721
Julius  the Baby of the World,Kevin Henkes,9780688143886
Forms of Talk,Erving Goffman,9780812211122
Interaction Ritual - Essays on Face-to-Face Behavior,Erving Goffman,9780394706313
Study Bible: NIV,Anonymous,9780310929550
My Lord Eternity (Immortal Rogues  #2),Debbie Raleigh/Alexandra Ivy,9780821775509
Aesop's Fables,Aesop/Ann McGovern,9780590438808
Once A Wolf: How Wildlife Biologists Fought to Bring Back the Gray Wolf,Stephen R. Swinburne/Jim Brandenburg,9780618111206
Conversations with Don DeLillo,Don DeLillo/Thomas DePietro,9781578067046
Inventing America: Jefferson's Declaration of Independence,Garry Wills,9780618257768
Venice: Lion City: The Religion of Empire,Garry Wills,9780671047641
Four Weddings and a Funeral,Richard Curtis,9780312143404
Halloween,Richard Curtis,9780553262964
Janet  My Mother and Me: A Memoir of Growing Up with Janet Flanner and Natalia Danesi Murray,William Murray,9780684809663
Catch That Pass!,Matt Christopher,9780316139243
Divide and Conquer (Tom Clancy's Op-Center  #7),Jeff Rovin/Tom Clancy/Steve Pieczenik,9780425174807
Death Match (Tom Clancy's Net Force Explorers  #18),Diane Duane/Tom Clancy/Steve Pieczenik,9780425184486
Line of Control (Tom Clancy's Op-Center  #8),Jeff Rovin/Tom Clancy/Steve Pieczenik,9780425180051
Sea of Fire (Tom Clancy's Op-Center  #10),Jeff Rovin/Tom Clancy/Steve Pieczenik,9780425190913
One is the Loneliest Number (Tom Clancy's Net Force Explorers  #3),Diane Duane/Tom Clancy/Steve Pieczenik,9780425164174
Aliens: Nightmare Asylum,Steve Perry,9780553561586
The Omega Cage (Matador  #4),Steve Perry/Michael Reaves,9780441623822
The 97th Step (Matador  #5),Steve Perry,9780441581054
A Friar's Bloodfeud (Knights Templar  #20),Michael Jecks,9780755323005
Death Ship of Dartmouth (Knights Templar  #21),Michael Jecks,9780755323012
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan/Wayne G. Broehl Jr.,9780760329634
Phantoms,Rosalind M. Greenberg,9780886773489
Fantasy Gone Wrong,Martin H. Greenberg/Brittiany A. Koren/Brian Stableford/Mickey Zucker Reichert/Fiona Patton/Jim C. Hines/Esther M. Friesner/Donald J. Bingle/Alan Dean Foster/Devon Monk/Phaedra M. Weldon/Christina F. York/Jana Paniccia/Josepha Sherman/Susan Sizemore/Michael Jasper/Janny Wurts/Lisanne Norman,9780756403805
The Ghosts in Baker Street: New Tales of Sherlock Holmes,Martin H. Greenberg/Daniel Stashower,9780786714001
Christmas Bestiary,Martin H. Greenberg/Jack Nimersheim/Jane Yolen/Jack C. Haldeman II/Harry Turtledove/Laura Resnick/Mike Resnick/Karen Haber/Jane Lindskold/Lawrence Schimel/Barry N. Malzberg/Tanya Huff/Michelle Sagara West/Mark Aronson/Stefan R. Dziemianowicz/Jennifer Roberson/Kristine Kathryn Rusch/Elizabeth Ann Scarborough/Barbara Delaplace/Barb Jernigan/Blake Cahoon,9780886775285
Black Cats and Broken Mirrors,John Helfers/Esther M. Friesner/Nina Kiriki Hoffman/Bruce Holland Rogers/Peter Crowther/R. Davis/Charles de Lint/Elizabeth Ann Scarborough/Michelle Sagara West/Nancy Springer/Dean Wesley Smith/Kristine Kathryn Rusch/Josepha Sherman/Jane Lindskold/Genevieve Gorman/Kristin Schwengel/Jean-François Podevin/Zane Stillings/Carol Rondou,9780886777883
Time Twisters,Jean Rabe/Martin H. Greenberg/Stephen Leigh/Gene DeWeese/Joe Masdon/Donald J. Bingle/Skip Williams/Penny Williams/Pierce Askegren/Nancy Virginia Varian/Wes Nicholson/John Helfers/Chris Pierson/Harry Turtledove/Kevin J. Anderson/Robert E. Vardeman/Jackie Cassada/James M. Ward/Jon L. Breen/Linda P. Baker,9780756404055
The Western Canon: The Books and School of the Ages,Harold Bloom,9781573225144
Shakespeare: The Invention of the Human,Harold Bloom,9781573227513
The American Religion,Harold Bloom,9780978721008
American Caesar: Douglas MacArthur 1880-1964,William Manchester,9780316544986
Winchester Shotguns,Dennis Adler/R.L. Wilson,9780785821083
Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary),R. McL. Wilson,9780567044716
Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,Arthur Yorinks/Raymond Jafelice,9780786817788
Meditations for Manifesting: Morning and Evening Meditations to Literally Create Your Heart's Desire,Wayne W. Dyer,9781561703159
There's a Spiritual Solution to Every Problem,Wayne W. Dyer,9780060192303
Michael Smith Elements of Style,Michael S.  Smith/Diane Dorrans Saeks,9780847827626
Spares,Michael Marshall Smith,9780006512677
One of Us,Michael Marshall Smith,9780553580693
The Secret City (Pyrates  #1),Chris Archer,9780439368513
The Theory and Practice of Group Psychotherapy,Irvin D. Yalom/Molyn Leszcz,9780465092840
When Nietzsche Wept,Irvin D. Yalom,9780060748128
Existential Psychotherapy,Irvin D. Yalom,9780465021475
Crown of Stars (Crown of Stars  #7),Kate Elliott,9780756404062
Crown Duel (Crown & Court #1-2),Sherwood Smith,9780142301517
A Rose for the Crown,Anne Easter Smith,9780743276870
The Bloody Crown of Conan (Conan the Cimmerian  #2),Robert E. Howard/Gary Gianni/Patrice Louinet,9780345461520
Rough Crossings: Britain  the Slaves and the American Revolution,Simon Schama,9780060539160
Landscape and Memory,Simon Schama,9780679735120
The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age,Simon Schama,9780679781240
Citizens: A Chronicle of the French Revolution,Simon Schama,9780141017273
The Feelings Book: The Care & Keeping of Your Emotions,Lynda Madison/Bonnie Timmons/Norm Bendell,9781584855286
A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It,Nancy Holyoke/Ali Douglass,9781593691035
What Would You Do? (American Girl Library),Patti Kelley Criswell/Norm Bendell,9781584858744
The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to Do,Mymi Doinet/Benjamin Chaud,9780811832793
The Capricorn Stone,Madeleine Brent,9780449201497
Golden Urchin,Madeleine Brent,9780449213896
The Ethics of Ambiguity,Simone de Beauvoir/Bernard Frechtman,9780806501604
She Came to Stay,Simone de Beauvoir,9780006540809
The Coming of Age,Simone de Beauvoir/Patrick O'Brian,9780393314434
A Transatlantic Love Affair: Letters to Nelson Algren,Simone de Beauvoir/Nelson Algren/Sylvie Le Bon de Beauvoir/Vanessa Kling/Ellen Gordon Reeves,9781565845602
La force de l'âge,Simone de Beauvoir,9782070377824
What Life Was Like When Rome Ruled the World: The Roman Empire  100 BC - AD 200 (What Life Was Like),Time-Life Books,9780783554525
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard/James Thomas,9780393306132
Sudden Fiction: American Short-Short Stories,Robert Shapard/James Thomas,9780879052652
Sarah Bernhardt,Elizabeth Silverthorne/Betty McCollum,9780791074589
The Art of Controversy (The Essays of Arthur Schopenhauer),Thomas Bailey Saunders,9781419161308
The Wisdom of Life,Arthur Schopenhauer/Thomas Bailey Saunders,9780486435503
For All Time (Time Travelers  #4),Caroline B. Cooney,9780440229315
Wanted!,Caroline B. Cooney,9780590988490
The Time Travelers: Volume One,Caroline B. Cooney,9780553494808
Every Night Italian: Every Night Italian,Giuliano Hazan/Marcella Hazan/Dana Gallagher,9780684800288
More Classic Italian Cooking,Marcella Hazan,9780345314031
Practice Makes Perfect: Italian Verb Tenses,Paola Nanni-Tate,9780071451383
Effigies (Faye Longchamp  #3),Mary Anna Evans,9781590583425
The Cambridge Companion to Schopenhauer,Christopher Janaway,9780521629249
Stormie: A Story of Forgiveness and Healing,Stormie Omartian,9781565078321
The Orion Mystery: Unlocking the Secrets of the Pyramids,Robert Bauval/Adrian Geoffrey Gilbert,9780517884546
Orion (Orion  #1),Ben Bova,9780812532470
Lake Orion (Images of America: Michigan),James E. Ingram/Lori Grove,9780738539560
Rick Steves' Europe Through the Back Door,Rick Steves,9781566918084
A Dangerous Man (Hank Thompson  #3),Charlie Huston,9780345481337
Already Dead (Joe Pitt  #1),Charlie Huston,9780345478245
Caught Stealing (Hank Thompson  #1),Charlie Huston,9780345464781
Ultimate Annuals  Volume 2,Charlie Huston/Mike Carey/Brian Michael Bendis/Robert Kirkman/Mike Deodato/Ryan Sook/Stuart Immonen/Frazier Irving,9780785123712
Dead I Well May Be (Dead Trilogy #1),Adrian McKinty,9780743470568
The Dead Yard (Michael Forsythe #2),Adrian McKinty,9780743499484
The Lighthouse Land (Lighthouse Trilogy #1),Adrian McKinty,9780810954809
Spider Mountain (Cam Richter  #2),P.T. Deutermann,9780312333799
The Edge of Honor,P.T. Deutermann,9780312953966
The Firefly,P.T. Deutermann,9780312994815
Diary of a Spider,Doreen Cronin/Harry Bliss,9780060001537
The Snow Spider (Snow Spider Trilogy  #1),Jenny Nimmo,9780439896757
Ultimate Spider-Man  Volume 16: Deadpool,Brian Michael Bendis/Mark Bagley,9780785119272
Ultimate Spider-Man  Volume 7,Brian Michael Bendis/Mark Bagley,9780785121480
Fables: 1001 Nights of Snowfall,Bill Willingham/Esao Andrews/John Bolton/Mark Buckingham/James Jean/Derek Kirk Kim/Tara  McPherson/Jill Thompson/Mark Wheatley/Michael Wm. Kaluta/Charles Vess/Brian Bolland,9781401203672
Cold Fire / Hideaway / The Key to Midnight,Dean Koontz/Leigh Nichols,9780399146268
Fables  Vol. 8: Wolves,Bill Willingham/Mark Buckingham/Steve Leialoha/Shawn McManus/Andrew Pepoy,9781401210014
Fables  Vol. 4: March of the Wooden Soldiers,Bill Willingham/Mark Buckingham/Craig Hamilton/Steve Leialoha/P. Craig Russell,9781401202224
Fables  Vol. 1: Legends in Exile,Bill Willingham/Terry Moore/Mike Allred/Lan Medina/Mark Buckingham/Matthew Sturges/Steve Leialoha/Craig Hamilton/Russ Braun/James Jean/Tony Akins/Eric Shanower/Shawn McManus/Jae Lee/Chrissie Zullo/David Petersen,9781563899423
Fables  Vol. 7: Arabian Nights (and Days),Bill Willingham/Mark Buckingham/Steve Leialoha/Jim Fern/Jimmy Palmiotti/Andrew Pepoy,9781401210007
Fables  Vol. 6: Homelands,Bill Willingham/David Hahn/Mark Buckingham/Lan Medina/Steve Leialoha,9781401205003
Fables  Vol. 3: Storybook Love,Bill Willingham/Bryan Talbot/Lan Medina/Mark Buckingham/Linda Medley/Steve Leialoha/James Jean,9781401202569
Fables  Vol. 5: The Mean Seasons,Bill Willingham/Mark Buckingham/Steve Leialoha/Tony Akins/Jimmy Palmiotti,9781401204860
The Choice: A Fable of Free Trade and Protectionism,Russell Roberts/Russ Roberts,9780131433540
Brewer's Dictionary of Phrase and Fable,John Ayto,9780061121203
Jack of Fables  Vol. 1: The (Nearly) Great Escape,Bill Willingham/Matthew Sturges/Tony Akins/Andrew Pepoy,9781401212223
Math Fables,Greg Tang/Heather Cahoon,9780439454001
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,9780787960759
Icebound,David Axton/Dean Koontz/Paul Michael,9780739341414
Odd Thomas (Odd Thomas #1),Dean Koontz/David Baker,9780739301760
